Lambda; Mean Response Time;
Policy : FCFS, Duration: Expon(1.0), Requirement: Uniform(0.01, 1.0), Jobs per data point: 10000000, Seed: 2
0.1; 1.0556251175285432;
0.2; 1.1245541505055494;
0.3; 1.209337058354628;
0.4; 1.3145853005259305;
0.5; 1.4472509987083757;
0.6; 1.6178664839148749;
0.7; 1.8433339311510128;
0.8; 2.1517750740770403;
0.9; 2.593854875929699;
1; 3.274626024920601;
1.1; 4.4500524085889435;
1.2; 6.938735182687784;
1.3; 15.700501972453269;
Error: queue length past threshold
1.4; 1047.1415244849404;
Error: queue length past threshold
1.5; 1075.8713299534077;
Error: queue length past threshold
1.6; 807.2241372803994;
Error: queue length past threshold
1.7; 723.5767419191868;
Error: queue length past threshold
1.8; 639.8544629040189;
Error: queue length past threshold
1.9; 536.6033073481591;
