Lambda; Mean Response Time;
Policy : MSF, Duration: Expon(1.0), Requirement: Uniform(0.0, 1.0), Jobs per data point: 10000000, Seed: 3
0.1; 1.0548637345620413;
0.2; 1.1207460199856885;
0.3; 1.2015470368373222;
0.4; 1.3011203927934607;
0.5; 1.4260724061557557;
0.6; 1.5871364100454537;
0.7; 1.79823266375732;
0.8; 2.0847928428627993;
0.9; 2.489184442636427;
1; 3.087784651989804;
1.1; 4.034451957066064;
1.2; 5.6856864048423486;
1.3; 8.954988323387056;
1.4; 17.32768316689234;
1.5; 56.97548614893984;
Error: queue length past threshold
1.6; 331.2303341850032;
Error: queue length past threshold
1.7; 103.86758804015443;
Error: queue length past threshold
1.8; 41.6999240712076;
Error: queue length past threshold
1.9; 30.172599233351242;
