Lambda; Mean Response Time;
Policy : MSFB, Duration: Expon(1.0), Requirement: Uniform(0.0, 1.0), Jobs per data point: 10000000, Seed: 3
0.1; 1.0530285588439283;
0.2; 1.1124173912880744;
0.3; 1.1800914032827325;
0.4; 1.2575347543383786;
0.5; 1.3469393087733605;
0.6; 1.4519847094241676;
0.7; 1.57614604706761;
0.8; 1.726109573029486;
0.9; 1.9091561670488313;
1; 2.1375187896236065;
1.1; 2.429005220513937;
1.2; 2.8104269620853755;
1.3; 3.3276203807985985;
1.4; 4.060806951878656;
1.5; 5.1489823056014545;
1.6; 6.903450799914547;
1.7; 10.098027501643623;
1.8; 17.321775924649934;
1.9; 43.13402123552535;
