Lambda; Mean Response Time;
Policy : PLCFSB, Duration: Expon(1.0), Requirement: Uniform(0.0, 1.0), Jobs per data point: 10000000, Seed: 3
0.1; 1.0530837256704948;
0.2; 1.1125629117599194;
0.3; 1.1802568378070604;
0.4; 1.257664998247101;
0.5; 1.347353671390757;
0.6; 1.453861372748491;
0.7; 1.5819214125159087;
0.8; 1.7393118469686297;
0.9; 1.9399305080803158;
1; 2.2029199394485324;
1.1; 2.568675681062788;
1.2; 3.1109889981515586;
1.3; 4.016030218350053;
1.4; 5.870613337441214;
1.5; 12.699084489842532;
Error: queue length past threshold
1.6; 33.34605670908273;
Error: queue length past threshold
1.7; 15.318520163967268;
Error: queue length past threshold
1.8; 10.970099526191502;
Error: queue length past threshold
1.9; 9.754999359697443;
