Lambda; Mean Response Time;
Policy : DB(7), Duration: Expon(1.0), Requirement: Uniform(0.0, 1.0), Jobs per data point: 10000000, Seed: 3
0.1; 1.0952761789084613;
0.2; 1.2076459477329875;
0.3; 1.3418395780262231;
0.4; 1.5041799442041304;
0.5; 1.7028413830673872;
0.6; 1.9496658063191754;
0.7; 2.2594733428933633;
0.8; 2.6536952704815606;
0.9; 3.1618650340515675;
1; 3.82847243283486;
1.1; 4.722446563716761;
1.2; 5.965389635772937;
1.3; 7.782991800315014;
1.4; 10.64836618580453;
1.5; 15.816049426883092;
1.6; 27.81091267241165;
1.7; 89.77282713433733;
Error: queue length past threshold
1.8; 793.279176934621;
Error: queue length past threshold
1.9; 744.8763319521524;
