Lambda; Mean Response Time;
Policy : DB(5), Duration: Expon(1.0), Requirement: Uniform(0.0, 1.0), Jobs per data point: 10000000, Seed: 3
0.1; 1.0908601525122352;
0.2; 1.1973038259501692;
0.3; 1.3238358839895414;
0.4; 1.4754468930779077;
0.5; 1.6597665859425401;
0.6; 1.8873617141322712;
0.7; 2.1713147916986597;
0.8; 2.5308544004886357;
0.9; 2.995914791037909;
1; 3.6128558043316237;
1.1; 4.460887030358242;
1.2; 5.682740781293327;
1.3; 7.584183036080878;
1.4; 10.905668446432662;
1.5; 18.2185297879322;
1.6; 47.33261814561646;
Error: queue length past threshold
1.7; 888.8442090645439;
Error: queue length past threshold
1.8; 836.7129718341187;
Error: queue length past threshold
1.9; 716.6550976930722;
