Lambda; Mean Response Time;
Policy : DB(21), Duration: Expon(1.0), Requirement: Uniform(0.0, 1.0), Jobs per data point: 10000000, Seed: 3
0.1; 1.1050719826891615;
0.2; 1.2326895716054216;
0.3; 1.390860843188005;
0.4; 1.5907839350340276;
0.5; 1.849046730764006;
0.6; 2.1920234303842077;
0.7; 2.6567969923548422;
0.8; 3.3025239558693573;
0.9; 4.210296751264051;
1; 5.481953931839492;
1.1; 7.246217732051609;
1.2; 9.659054587639968;
1.3; 12.939797840466507;
1.4; 17.55573236503171;
1.5; 24.3397808840983;
1.6; 35.30759600168181;
1.7; 56.564912024616525;
1.8; 116.58266864220066;
Error: queue length past threshold
1.9; 1006.1944092856808;
